exoId;partId
3;1
11;1
37;1
4;3
9;3
13;4
21;4
2;5
6;5
12;5
14;5
17;5
31;5
36;5
5;6
7;6
8;6
15;6
20;6
22;6
24;6
25;6
26;6
27;6
28;6
32;6
33;6
35;6
38;6
1;8
23;8
29;10
34;10
10;11
18;11
